Time,hotWaterPump,mashStirrer,controllerInfo,mashVolume,boilerValve,cooler,dispenser3,aerator,waterCirculationPump,boilerVolume,wortPump,dispenser4,plateValve,mashTemp,envTemp,boiler,delayTimer,waterHeater,dispenser1,dispenser2,hwtVolume
08:32:39.979137,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,3.83333333333,33.3,1,1,11.9818849564
08:32:44.980627,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,3.91666666667,33.3,1,1,11.9818849564
08:32:49.985847,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.0,33.3,1,1,11.9818849564
08:32:54.991088,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.08333333333,33.3,1,1,11.9818849564
08:32:59.996356,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.16666666667,33.3,1,1,11.9818849564
08:33:05.001653,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.25,33.3,1,1,11.9818849564
08:33:10.006938,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.33333333333,33.3,1,1,11.9818849564
08:33:15.008652,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.41666666667,33.3,1,1,11.9818849564
08:33:20.012650,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.5,33.3,1,1,11.9818849564
08:33:25.017910,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.58333333333,33.3,1,1,11.9818849564
08:33:30.023178,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.66666666667,33.3,1,1,11.9818849564
08:33:35.028458,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.75,33.3,1,1,11.9818849564
08:33:40.032652,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.83333333333,33.3,1,1,11.9818849564
08:33:45.037917,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,4.91666666667,33.3,1,1,11.9818849564
08:33:50.043218,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.0,33.3,1,1,11.9818849564
08:33:55.048480,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.08333333333,33.3,1,1,11.9818849564
08:34:00.053766,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.16666666667,33.3,1,1,11.9818849564
