Time,hotWaterPump,mashStirrer,controllerInfo,dispenser2,boilerValve,cooler,dispenser3,aerator,waterCirculationPump,boilerVolume,wortPump,dispenser4,plateValve,dispenser1,envTemp,boiler,delayTimer,waterHeater
14:26:25.664621,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.6875,209.75,30.75,103.2125
14:26:32.365466,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.6875,209.75,30.85,104.225
14:26:38.562344,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.6875,209.75,30.9666666667,105.575
14:26:44.251863,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.575,209.75,31.0666666667,106.475
14:26:50.448136,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.575,209.75,31.15,107.2625
14:26:56.143989,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.575,209.75,31.25,107.9375
14:27:02.331891,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.575,209.75,31.35,108.725
14:27:08.023622,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.575,209.75,31.45,109.5125
14:27:13.723279,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.4625,209.75,31.55,110.075
14:27:19.411467,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.4625,209.75,31.65,110.75
14:27:25.610248,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.4625,209.75,31.75,111.65
14:27:32.305964,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.4625,209.75,31.85,112.325
14:27:38.508419,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.4625,209.75,31.9666666667,112.8875
14:27:44.201334,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.4625,209.75,32.0666666667,113.5625
14:27:50.394748,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.4625,209.75,32.1666666667,114.2375
14:27:56.892535,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.4625,209.75,32.25,114.6875
14:28:02.273969,0,0,0,1,0,209.75,1,0,0,13.9050401691,0,1,0,0,123.4625,209.8625,32.35,115.1375
14:28:08.966410,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.4625,209.8625,32.4666666667,115.475
14:28:15.658140,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.35,209.8625,32.5833333333,116.0375
14:28:22.350505,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.35,209.8625,32.6833333333,116.375
14:28:28.039402,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.35,209.8625,32.7833333333,116.7125
14:28:33.766180,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.35,209.8625,32.8833333333,117.1625
14:28:39.450991,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.2375,209.8625,32.9833333333,117.5
14:28:45.648394,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.2375,209.8625,33.0833333333,118.0625
14:28:52.344517,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.2375,209.8625,33.1833333333,118.2875
14:28:58.537372,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.2375,209.8625,33.3,118.5125
14:29:04.228757,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.2375,209.8625,33.4,118.7375
14:29:10.416873,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.125,209.8625,33.5,119.1875
14:29:16.107302,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.125,209.8625,33.5833333333,119.525
14:29:22.299562,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.125,209.8625,33.6833333333,119.75
14:29:27.993271,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.125,209.8625,33.7833333333,119.975
14:29:34.187403,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.125,209.8625,33.8833333333,120.2
14:29:39.880539,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.0125,209.8625,33.9833333333,120.425
14:29:45.572998,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.0125,209.8625,34.0833333333,120.65
14:29:51.777384,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.0125,209.8625,34.1833333333,120.875
14:29:57.473966,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.0125,209.8625,34.2833333333,121.1
14:30:03.666170,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,123.0125,209.8625,34.3833333333,121.1
14:30:09.361662,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.9,209.8625,34.4666666667,121.1
14:30:15.615764,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.9,209.8625,34.5833333333,121.2125
14:30:21.314505,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.9,209.8625,34.6833333333,121.325
14:30:27.003963,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.9,209.8625,34.7666666667,121.4375
14:30:33.189289,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.9,209.8625,34.8833333333,121.55
14:30:38.883671,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.9,209.8625,34.9666666667,121.55
14:30:45.079790,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.7875,209.8625,35.0666666667,121.775
14:30:51.771822,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.7875,209.8625,35.1833333333,121.8875
14:30:58.463688,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.7875,209.8625,35.2833333333,122.0
14:31:05.158165,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.675,209.8625,35.4,122.1125
